Yil,PM10,SO2,CO,NO2,NOX,NO,HavaSicakligi,BagilNem,KabinSicakligi,KabinNem,PM25,IstasyonTipi,Gece/Gunduz,Haftasonu/Haftaici,Ay,Mevsim
2020,68.21,8.22,879.87,82.15,172.45,90.31,-1.5,89.53,20.18,29.27,24.0,Kentsel,Gece,Haftaici,1,Kis
2020,53.89,22.41,521.75,54.98,84.93,29.95,2.62,68.69,20.25,29.38,18.73,Kentsel,Gunduz,Haftaici,1,Kis
2020,55.43,5.7,604.51,72.35,118.55,46.2,-1.69,83.4,20.18,29.26,27.01,Kentsel,Gece,Haftaici,1,Kis
2020,36.75,4.49,482.97,46.66,61.66,14.99,3.06,61.93,20.26,29.39,28.23,Kentsel,Gunduz,Haftaici,1,Kis
2020,18.62,3.14,292.84,39.09,49.52,10.44,0.75,67.04,20.23,29.33,6.08,Kentsel,Gece,Haftaici,1,Kis
2020,87.46,4.71,475.29,87.72,123.36,35.64,1.89,86.7,20.25,29.37,52.02,Kentsel,Gunduz,Haftaici,1,Kis
2020,48.1,5.89,810.85,77.66,132.5,54.84,-1.41,92.7,20.64,30.03,0.4,Kentsel,Gece,Haftaici,1,Kis
2020,32.91,4.66,663.23,63.98,92.72,28.73,0.22,84.74,20.59,29.94,16.12,Kentsel,Gunduz,Haftasonu,1,Kis
2020,31.81,8.35,467.66,49.55,57.14,7.6,0.76,80.98,20.59,29.94,16.12,Kentsel,Gece,Haftasonu,1,Kis
2020,84.04,6.81,909.07,82.24,138.92,56.68,3.12,68.02,20.57,29.9,48.2,Kentsel,Gunduz,Haftasonu,1,Kis
2020,105.87,4.72,1244.58,80.26,228.53,148.27,-2.53,98.52,20.61,29.98,19.31,Kentsel,Gece,Haftasonu,1,Kis
2020,98.35,8.18,1023.98,76.39,150.09,73.7,2.56,80.97,20.54,29.85,37.19,Kentsel,Gunduz,Haftaici,1,Kis
2020,80.26,2.96,1124.04,68.38,170.82,102.44,-3.07,97.83,20.59,29.93,33.51,Kentsel,Gece,Haftaici,1,Kis
2020,70.47,9.84,744.15,64.27,94.67,30.39,4.9,65.39,20.42,29.66,20.22,Kentsel,Gunduz,Haftaici,1,Kis
2020,102.47,7.08,757.36,84.52,151.66,67.13,1.5,88.27,20.13,29.17,47.9,Kentsel,Gece,Haftaici,1,Kis
2020,206.97,11.85,1209.83,135.75,273.94,138.19,6.57,70.11,20.21,29.3,94.38,Kentsel,Gunduz,Haftaici,1,Kis
2020,92.01,9.34,2383.93,113.47,392.22,278.75,0.85,92.8,20.59,29.94,61.31,Kentsel,Gece,Haftaici,1,Kis
2020,80.44,13.66,1849.04,116.75,258.13,141.37,6.28,65.88,20.43,29.67,53.43,Kentsel,Gunduz,Haftaici,1,Kis
2020,92.59,9.01,1210.06,90.93,162.01,71.1,0.45,89.28,20.1,29.13,56.76,Kentsel,Gece,Haftaici,1,Kis
2020,82.51,24.42,544.56,100.34,162.8,62.0,5.11,68.11,20.14,29.2,37.71,Kentsel,Gunduz,Haftaici,1,Kis
2020,30.41,8.09,777.25,80.44,151.6,71.16,1.6,86.95,20.52,29.83,8.98,Kentsel,Gece,Haftaici,1,Kis
2020,48.76,16.11,574.4,63.02,90.37,27.35,4.92,77.1,20.53,29.84,8.74,Kentsel,Gunduz,Haftasonu,1,Kis
2020,32.89,10.0,1902.86,100.91,296.06,195.15,1.14,86.96,20.58,29.93,16.12,Kentsel,Gece,Haftasonu,1,Kis
2020,15.41,9.53,1060.85,99.66,192.14,92.48,4.48,65.59,20.53,29.84,3.73,Kentsel,Gunduz,Haftasonu,1,Kis
2020,9.81,9.17,1275.59,100.99,305.61,204.62,-1.45,85.64,20.63,30.0,3.73,Kentsel,Gece,Haftasonu,1,Kis
2020,46.2,8.11,934.76,89.88,251.37,161.5,2.34,65.36,20.56,29.89,11.41,Kentsel,Gunduz,Haftaici,1,Kis
2020,26.42,9.37,1194.36,87.57,212.44,124.86,-1.7,87.16,20.62,30.0,24.98,Kentsel,Gece,Haftaici,1,Kis
2020,12.51,4.16,593.32,48.11,63.45,15.33,1.94,68.32,20.55,29.87,1.95,Kentsel,Gunduz,Haftaici,1,Kis
2020,6.49,3.31,343.02,34.76,42.49,7.73,1.49,78.35,20.55,29.87,1.94,Kentsel,Gece,Haftaici,1,Kis
2020,16.5,1.56,567.76,58.42,96.57,38.15,3.83,95.69,20.52,29.82,13.49,Kentsel,Gunduz,Haftaici,1,Kis
2020,26.37,3.96,923.34,71.91,125.61,53.7,4.36,98.73,20.54,29.85,3.16,Kentsel,Gece,Haftaici,1,Kis
